%Character	Friendly links																																							Hostile Links						
																																														
%Chapter 1: Plague and Wrath																																														
Agamemnon	Atreus	Chryseis	Achilles	Menelaus	Clytaemnestra	Ajax	Odysseus	Briseis	Nestor	Talthybius	Eurybates	Briseis																												Priam						
Atreus	Agamemnon	Menelaus																																												
Priam																																								Agamemnon	Menelaus					
Chryseis	Chryses	Agamemnon	Odysseus																																											
Chryses	Chryseis	Odysseus																																												
Apollo	Zeus	Leto																																						Agamemnon						
Zeus	Apollo	Leto	Achilles	Athene	Thetis	Hera	Poseidon	Aegaeon	Cronus	Hephaestus																																				
Leto	Apollo	Zeus																																												
Achilles	Agamemnon	Peleus	Calchas	Zeus	Briseis	Athene	Nestor	Patroclus	Talthybius	Eurybates	Thetis																																			
Peleus	Achilles	Thetis																																												
Menelaus	Atreus	Agamemnon																																						Priam						
Hera	Athene	Poseidon	Zeus	Thetis	Hephaestus																																									
Calchas	Thestor	Achilles																																												
Thestor	Calchas																																													
Clytaemnestra	Agamemnon																																													
Odysseus	Agamemnon	Chryseis	Chryses																																											
Idomeneus	Agamemnon																																													
Briseis	Achilles	Agamemnon	Talthybius	Eurybates	Patroclus																																									
Athene	Achilles	Agamemnon	Hera	Zeus	Hector	Poseidon																																								
Hector	Achilles																																													
Nestor	Achilles	Agamemnon	Peirithous	Dryas	Caeneus	Exadius	Polyphemus	Theseus																																						
Peirithous	Nestor	Theseus	Dryas	Caeneus	Exadius	Polyphemus																																								
Dryas	Nestor	Theseus	Peirithous	Caeneus	Exadius	Polyphemus																																								
Caeneus	Nestor	Theseus	Peirithous	Dryas	Exadius	Polyphemus																																								
Exadius	Nestor	Theseus	Peirithous	Caeneus	Dryas	Polyphemus																																								
Polyphemus	Nestor	Theseus	Peirithous	Caeneus	Dryas	Exadius																																								
Aegeus	Nestor	Theseus																																												
Theseus	Nestor	Aegeus	Peirithous	Dryas	Caeneus	Exadius	Polyphemus																																							
Patroclus	Menoetius	Achilles	Briseis	Talthybius	Eurybates																																									
Menoetius	Patroclus																																													
Talthybius	Agamemnon	Eurybates	Achilles	Briseis	Patroclus																																									
Eurybates	Agamemnon	Talthybius	Achilles	Briseis	Patroclus																																									
Thetis	Achilles	Peleus	Zeus	Aegaeon	Hera																																									
Poseidon	Hera	Athene	Zeus																																											
Aegaeon	Thetis	Zeus																																												
Cronus	Zeus																																													
Hephaestus	Hera	Zeus																																												
																																														
%Chapter 2: A Dream																																														
Zeus	Dawn	Hermes	Phyleus	Peirithous	Typhoeus	Iris																																								
Achilles	Thersites																																							Mynes	Epistrophus 2	Ennomus	Amphimachus son of Nomian			
Agamemnon	Thyestes	Thersites																																						Priam	Hector					
Hera																																														
Nestor	Neleus	Idomeneus	Ajax the Great	Ajax the Lesser	Diomedes	Menelaus																																		Helen						
Neleus	Nestor																																													
Priam	Helen	Polites																																						Agamemnon	Odysseus					
Dawn	Zeus																																													
Hermes	Zeus	Argus	Pelops																																											
Argus	Hermes																																													
Pelops	Hermes	Atreus																																												
Atreus	Pelops	Thyestes																																												
Thyestes	Atreus	Agamemnon																																												
Ares	Ascalaphus	Ialmenus	Astyoche	Licymnius	Leonteus	Pylaeus																																								
Athene	Odysseus	Erechtheus																																												
Helen	Priam																																							Nestor	Menelaus					
Odysseus	Athene	Laertes	Eurybates	Thersites	Telemachus	Calchas	Idomeneus	Ajax the Great	Ajax the Lesser	Diomedes	Menelaus																													Priam						
Laertes	Odysseus																																													
Eurybates	Odysseus																																													
Thersites	Agamemnon	Odysseus	Achilles																																											
Telemachus	Odysseus																																													
Calchas	Odysseus																																													
Apollo	Pandarus																																													
Idomeneus	Agamemnon	Ajax the Great	Ajax the Lesser	Diomedes	Nestor	Odysseus	Menelaus																																							
Ajax the Great	Agamemnon	Idomeneus	Ajax the Lesser	Diomedes	Nestor	Odysseus	Menelaus																																							
Ajax the Lesser	Agamemnon	Idomeneus	Ajax the Great	Diomedes	Nestor	Odysseus	Menelaus																																							
