Character	Friendly links																										Hostile Links																																	Worship Links
Ulf	King Arnvid	Solvi Chopper	Audbjorn	King Harald	Olvir Hump																						Hallvard Travel-hard	Sigtrygg Travel-quick																																
Bjalfi	Ulf																																																											
Hallbera	Ulf	Bjalfi																																																										
Ulf the fearless	Hallbera																																																											
Hallbjorn Half-troll	Hallbera	Ulf the fearless																																																										
Ketil Haeng	Hallbjorn Half-troll																																																											
Kari from Berle	Ulf																																																											
Eyvind Lamb	Kari from Berle																																																											
Olvir Hump	Eyvind Lamb	Kari from Berle																																																										
Salbjorg	Eyvind Lamb	Olvir Hump	Kari from Berle	Ulf																																																								
Thorolf	Ulf	Salbjorg	Eyvind Lamb	Olvir Hump																																																								
Grim	Ulf	Salbjorg	Thorolf	Olvir Hump																							Hallvard Travel-hard	Sigtrygg Travel-quick																																
Audbjorn																																																												
Hroald																																																												
Thorir	Hroald	Ulf	Grim																																																									
Atli the Slender	Olvir Hump																																																											
Hallstein	Atli the Slender																										Olvir Hump																																	
Holmstein	Atli the Slender	Hallstein																									Olvir Hump																																	
Herstein	Atli the Slender	Hallstein	Holmstein																								Olvir Hump																																	
Solveig the Fair	Atli the Slender	Hallstein	Holmstein	Herstein	Olvir Hump																																																							
King Harald	Olvir Hump	Kari from Berle	Hroald	Thorolf	Eyvind Lamb	Grim	Thorir																				Thorolf																																	
Halfdan the Black	King Harald																																																											
Herlaug	Hrollaug																																																											
Hrollaug	King Harald																																																											
King Hunthjof																											King Harald																																	
Solvi Chopper	King Hunthjof	Audbjorn																									King Harald																																	
King Arnvid	Solvi Chopper	Audbjorn																									King Harald																																	
Asgaut																											King Arnvid	Solvi Chopper	Audbjorn																															
Asbjorn																											King Arnvid																																	
Vemund	Audbjorn																																																											
Rognvald	King Harald	Kari from Berle																									Vemund																																	
Earl Hakon of Lade																																																												
Grjotgard	Earl Hakon of Lade	King Harald																									King Arnvid	Solvi Chopper	Audbjorn																															
Herlaug son of earl Hakon of Lade	Earl Hakon of Lade	Grjotgard	King Harald																								King Arnvid	Solvi Chopper	Audbjorn																															
Bjorgolf																																																												
Brynjolf	Bjorgolf	King Harald																																																										
Helga	Brynjolf	Ketil Haeng																																																										
Bard	Brynjolf	Helga	King Harald	Olvir Hump	Thorolf																																																							
Hogni	Bjorgolf	Brynjolf																																																										
Hildirid	Hogni	Bjorgolf	Brynjolf																																																									
Harek	Bjorgolf	Hildirid	Brynjolf	Thorolf	King Harald																																																							
Hraerek	Bjorgolf	Hildirid	Harek	Brynjolf	Thorolf	King Harald																																																						
Sigurd	Bard	Thorolf																																																										
Sigrid	Sigurd	Bard	Brynjolf	Thorolf	Eyvind Lamb	Olvir Hump	King Harald																																																					
Audun	King Harald	Halfdan the Black																																																										
Thorbjorn Raven	King Harald																																																											
Grim Bardason	Bard	Sigrid	Thorolf																																																									
Thorir Long-chin																											King Harald																																	
Kjotvi the Wealthy	Thorir Long-chin																										King Harald																																	
Thorgils Boomer	Thorolf	King Harald	Olvir Hump	Ulf	Grim																						King Harald																																	
King Faravid	Thorolf																																																											
Sigtrygg Travel-quick	King Harald	Hallvard Travel-hard	Thord from Hising	Thorgeir from Hising	Thorgils Boomer																																																							
Hallvard Travel-hard	King Harald	Thord from Hising	Thorgeir from Hising	Thorgils Boomer																																																								
Thord from Hising	Thorgeir from Hising																										Thorgils Boomer																																	
Thorgeir from Hising																											Thorgils Boomer																																	
Thorir Thruma	King Harald	Thorolf																																																										
Yngvar	Grim																																																											
Bera	Yngvar	Grim																																																										
Finn Squinter	Eyvind Lamb	Sigrid																																																										
Eyvind the Plagiarist	Finn Squinter																																																											
Geirlaug	Eyvind Lamb	Sigrid	Finn Squinter																																																									
Sighvat the Red	Geirlaug																																																											
Gunnhild	Finn Squinter	Eyvind the Plagiarist																																																										
Earl Halfdan	Gunnhild																																																											
Ingibjorg	Gunnhild	Earl Halfdan	King Harald																																																									
Hrafnhild	Ketil Haeng																																																											
Thorkel earl of Naumdal	Hrafnhild																																																											
Ketil Haeng son of Thorkel	Hrafnhild	Thorkel earl of Naumdal	Thorolf																								Harek	Hraerek																																
Baug	Ketil Haeng son of Thorkel																																																											
Hjorleif Hromundarson																																																												
Ingolf Arnarson	Hjorleif																																																											
Ingunn	Ketil Haeng son of Thorkel																																																											
Hrafn	Ketil Haeng son of Thorkel	Ingunn	Storolf	Herjolf																																																								
Storolf	Ketil Haeng son of Thorkel	Ingunn	Herjolf																																																									
Herjolf	Ketil Haeng son of Thorkel	Ingunn																																																										
Orm the Strong	Storolf																																																											
Sumarlidi	Herjolf																																																											
Verturlidi the Poet	Sumarlidi																																																											
Helgi Haengsson	Hrafn	Storolf	Herjolf	Ketil Haeng son of Thorkel	Ingunn																																																							
Vestar Haengsson	Helgi Haengsson	Hrafn	Storolf	Herjolf	Ketil Haeng son of Thorkel	Ingunn																																																						
Moeid	Vestar Haengsson																																																											
Hildir from Hildisey	Moeid																																																											
Asny	Vestar Haengsson	Moeid																																																										
Ofeig Grettir	Asny																																																											
Thorlaug	Ketil Haeng son of Thorkel	Ingunn	Hrafn	Storolf	Herjolf	Helgi Haengsson	Vestar Haengsson																																																					
Jorund the Godi	Thorlaug																																																											
Valgard from Hof	Thorlaug	Jorund the Godi																																																										
Ani	Grim																																																											
Grani	Grim																																																											
Grimolf	Grim																																																											
Grim brother of Grimolf	Grimolf	Grim																																																										
Thorbjorn Hunchback	Grim																																																											
Thord Hobbler	Thorbjorn Hunchback	Grim																																																										
Thorir the Giant	Grim																																																											
Thorgier Earth-long	Grim	Thorir the Giant																																																										
Odd	Grim																																																											
Gris	Grim																																																											
Guttorm	King Harald																																																											
Sigurd Hart	Guttorm																																																											
Sigurd son of Guttorm	Guttorm	Ragner son of Guttorm	Ragnhild	Aslaug	Hallvard Travel-hard	Sigtrygg Travel-quick																					Ulf	Grim																																
Ragner son of Guttorm	Sigurd son of Guttorm	Guttorm	Ragnhild	Aslaug	Hallvard Travel-hard	Sigtrygg Travel-quick																					Ulf	Grim																																
Ragnhild	Guttorm	Aslaug																																																										
Aslaug	Ragnhild	Guttorm																																																										
Grim Thorrisson	Ulf	Grim	Thorolf																																																									
Thorir son of Ketil Keel-farer	Grim Thorrisson																																																											
Ketil Keel-farer	Thorir son of Ketil Keel-farer																																																											
Onund Sjoni	Grim	Ani	Grim																																																									
Grimsolfsfit	Grimolfslaek	Grim Grimolfsson	Grimolf	Grim																																																								
Grimolfslaek	Grim Grimolfsson	Grimolf	Grim																																																									
Grim Grimolfsson	Grimolf	Grim																																																										
Grimar	Grim Grimolfsson																																																											
Tungu-Odd Onundarsson	Thorstein Egilsson																																																											
Thordis Stick	Thorir the Giant																																																											
Sigmund	Grim																																																											
Oleif Hjalti	Grim																																																											
Ragi	Oleif Hjalti																																																											
Thorarin	Ragi	Oleif Hjalti																																																										
Thordis daughter of Olaf Feilan	Thorarin																																																											
Thord Bellower	Thordis daughter of Olaf Feilan																																																											
Olaf Feilan	Thordis daughter of Olaf Feilan	Thord Bellower																																																										
Thorolf Skallagrimsson	Bera	Grim	Egil Skallagrimsson	Thorunn Skallagrimsdottir	Saeunn Skallagrimsdottir	Yngvar	Thorir	King Harald																																																				
Egil Skallagrimsson	Bera	Grim	Thorunn Skallagrimsdottir	Saeunn Skallagrimsdottir	Yngvar	Thorir	Onund Sjoni																																																					
Thorunn Skallagrimsdottir	Bera	Grim	Saeunn Skallagrimsdottir																																																									
Saeunn Skallagrimsdottir	Bera	Grim	Thorfinn the Strong																																																									
Bjorn																																																												
Brynjolf Bjornarson	Bjorn	Thorir	Thorolf Skallagrimsson																																																									
Bjorn Brynjolfsson	Brynjolf Bjornarson	Thorir	Grim	Thorolf Skallagrimsson		Bera	Egil Skallagrimsson	Arinbjorn																			King Harald																																	
