Character	Friendly links																										Hostile Links																																	Worship Links
Athelstan the Victorious																																																												
Hakon the Good	Athelstan the Victorious																																																											
Thorkel Skerauki																																																												
Isgerd	Thorkel Skerauki																																																											
Ari Thorkelsson(Skerauki)	Thorkel Skerauki	Isgerd	Gisli Thorkelsson(Skerauki)	Thorbjorn Thorkelsson(Skerauki)																																																								
Gisli Thorkelsson(Skerauki)	Thorkel Skerauki	Isgerd	Thorbjorn Thorkelsson(Skerauki)																																																									
Thorbjorn Thorkelsson(Skerauki)	Thorkel Skerauki	Isgerd																																																										
Isi																																																												
Ingigered	Isi																																																											
Ingibjorg Isisdottir	Isi	Ingigered	Ari Thorkelsson(Skerauki)	Gisli Thorkelsson(Skerauki)																																																								
Kol	Ari Thorkelsson(Skerauki)	Ingibjorg Isisdottir	Gisli Thorkelsson(Skerauki)																								Gisli Thorkelsson(Skerauki)																																	
Bjorn the Black	Ari Thorkelsson(Skerauki)	Gisli Thorkelsson(Skerauki)																									Ari Thorkelsson(Skerauki)	Gisli Thorkelsson(Skerauki)																																
Raud																																																												
Thora Raudsdottir	Raud	Thorbjorn Thorkelsson(Skerauki)																																																										
Thordis Sursdottir	Thorbjorn Thorkelsson(Skerauki)	Thora Raudsdottir	Ari Sursson	Gisli Sursson																																																								
Ari Sursson	Thorbjorn Thorkelsson(Skerauki)	Thora Raudsdottir	Gisli Sursson																																																									
Gisli Sursson	Thorbjorn Thorkelsson(Skerauki)	Thora Raudsdottir	Thorkel Sursson																																																									
Styrkar Raudsson	Ari Sursson	Thora Raudsdottir	Raud																																																									
Bard in Surnadal	Thorkel Sursson	Gisli Sursson																									Gisli Sursson																																	
Kolbjorn in Surnadal	Thordis Sursdottir	Gisli Sursson																									Gisli Sursson																																	
Thorkel Sursson	Thordis Sursdottir	Ari Sursson	Gisli Sursson	Thorbjorn Thorkelsson(Skerauki)	Thora Raudsdottir	Kolbjorn in Surnadal																																																						
Skeggi the Dueller	Thorkel Sursson	Thorbjorn Thorkelsson(Skerauki)	Kolbjorn in Surnadal																								Gisli Sursson																																	
Ref	Skeggi the Dueller																																																											
Einar Skeggison	Skeggi the Dueller	Kolbjorn in Surnadal																																																										
Arni Skeggison	Einar Skeggison	Skeggi the Dueller	Kolbjorn in Surnadal																																																									
Thorkel Eiriksson	Thorbjorn Thorkelsson(Skerauki)	Gisli Sursson																																																										
Thorkel the Wealthy	Thorbjorn Thorkelsson(Skerauki)	Thorkel Sursson	Gisli Sursson																																																									
Bjartmar																																																												
Thurid Hrafnsdottir	Bjartmar																																																											
Hrafn Dyrason	Thurid Hrafnsdottir	Bjartmar																																																										
Hild Bjartmarsdottir	Thurid Hrafnsdottir	Bjartmar	Helgi Bjartmarsson	Sigurd Bjartmarsson	Vestgeir Bjartmarsson																																																							
Helgi Bjartmarsson	Thurid Hrafnsdottir	Bjartmar	Sigurd Bjartmarsson	Vestgeir Bjartmarsson																																																								
Sigurd Bjartmarsson	Thurid Hrafnsdottir	Bjartmar	Vestgeir Bjartmarsson																																																									
Vestgeir Bjartmarsson	Thurid Hrafnsdottir	Gisli Sursson																																																										
Vestein	Helgi Bjartmarsson																																																											
Aud Vesteinsdaughter	Helgi Bjartmarsson	Vestein	Gisli Sursson	Thorkel Sursson	Eyjolf the Grey																																																							
Vestein junior	Helgi Bjartmarsson	Vestein	Aud Vesteinsson	Thorgrim son of Thora	Gisli Sursson	Thorkel Sursson																																																						
Vegeir	Vestein																																																											
Vebjorn the champion	Vegeir																																																											
An Red-cloak	Bjartmar																																																											
Grim Hairy-cheeks	An Red-cloak																																																											
Arrow-Odd	Grim Hairy-cheeks																																																											
Ketil Haeng	Grim Hairy-cheeks	Arrow-Odd																																																										
Hallbjorn Half-troll	Ketil Haeng																																																											
Helga daughter of An Bow	An Red-cloak																																																											
An Bow-bender	Helga daughter of An Bow																																																											
Gunnhild Vestein's wife	Vestein junior																																																											
Berg son of Vestein	Gunnhild Vestein's wife	Vestein junior	Thorkel Sursson	Aud Vesteinsdaughter																							Thorkel Sursson	Ari Sursson																																
Helgi son of Vestein	Berg son of Vestein	Gunnhild Vestein's wife	Vestein junior	Gisli Sursson	Thorkel Sursson	Aud Vesteinsdaughter																					Thorkel Sursson																																	
Thorgrim son of Thora	Thora	Thorstein Cod-bitter	Thordis Sursdottir	Thorkel Sursson	Gisli Sursson																						Gisli Sursson																																	
Thorstein Cod-bitter	Thorgrim son of Thora	Gisli Sursson	Thorkel Sursson																																																									
Thorolf Moster-beard	Thorstein Cod-bitter																																																											
Bork the Stout	Thora	Thorstein Cod-bitter	Thorgrim son of Thora	Thordis Sursdottir	Thorkel Sursson	Thordis Sursdottir																					Gisli Sursson																																	
Thora	Thorstein Cod-bitter																																																											
Olaf Feilan	Thora																																																											
Thorbjorn Selagnup																																																												
Thordis wife of Thorbjorn	Thorbjorn Selagnup																																																											
Asgerd Thorbjornsdottir	Thorbjorn Selagnup	Thordis wife of Thorbjorn	Thorkel Sursson	Aud Vesteinsdaughter																																																								
Thordis Thorsteinsdottir	Thora	Thorstein Cod-bitter	Bork the Stout	Thorgrim son of Thora																																																								
Thorodd Thorarinsson	Thordis Thorsteinsdottir	Bork the Stout	Gisli Sursson																								Gisli Sursson																																	
Outlaw-Stein Thorarinsson	Thordis Thorsteinsdottir	Thorodd Thorarinsson	Bork the Stout	Gisli Sursson																							Gisli Sursson																																	
Gest Oddleifsson	Thorkel the Wealthy	Thorgrim son of Thora	Bork the Stout	Berg son of Vestein	Helgi son of Vestein																																																							
Arnor a noisy fellow	Thorkel the Wealthy	Gest Oddleifsson																																																										
Thorir from Oslofjord	Thorgrim son of Thora																																																											
Thorarin from Oslofjord	Thorir from Oslofjord	Thorgrim son of Thora																									Thorgrim son of Thora																																	
Odd Orlygsson	Thorgrim son of Thora																																																											
Thorodd Thorgrimsson the Godi	Thorgrim son of Thora	Odd Orlygsson																																																										
Onund from Medaldal	Gisli Sursson	Thorkel Sursson																									Odd Orlygsson																																	
King Harald Eiriksson (Gunnhildarson)	Thorgrim son of Thora	Thorkel Sursson																																																										
Beard-Bjalfi	Vestein junior	Gisli Sursson																																																										
Sigurhadd	Vestein junior	Gisli Sursson	Beard-Bjalfi																																																									
Sigurd Norwegian	Vestein junior	Gisli Sursson																																																										
Geirmund Ingjaldsson	Thorkel Sursson	Aud Vesteinsdaughter	Asgerd Thorbjornsdottir	Vestein junior	Thorgrim son of Thora	Gisli Sursson																																																						
Gudrid  Ingjaldsdottir	Gisli Sursson	Geirmund Ingjaldsson	Aud Vesteinsdaughter	Asgerd Thorbjornsdottir	Thorgrim son of Thora	Thorkel Sursson																																																						
Thorgrim Nef Nose	Thorkel Sursson	Thorgrim son of Thora	Bork the Stout																								Gisli Sursson																																	
Hallvard	Gisli Sursson	Vestein junior																																																										
Havard	Hallvard	Gisli Sursson	Vestein junior																																																									
Thorvard farmer at Holt																																																												
Luta	Vestein junior																																																											
Thorvald Gneisti Spark	Vestein junior																																																											
