Character	Friendly links																										Hostile Links																																	Worship Links
Ketil (the Large)																																																												
Orm Broken-shell	Ketil (the Large)																																																											
Giant-Bjorn	Hrossbjorn																																																											
Hrossbjorn	Orm Broken-shell																																																											
Mjoll	Ketil (the Large)																																																											
An Bow-bender	Mjoll																																																											
Thorstein Ketilsson (the Large)	Mjoll	Ketil (the Large)																																																										
Jokul	Thorstein Ketilsson (the Large)																										Thorstein Ketilsson (the Large)																																	
Ingimund earl of Gotland	Jokul	Thorstein Ketilsson (the Large)	Ketil (the Large)																																																									
Vigdis	Jokul	Ingimund earl of Gotland	Thorstein Ketilsson (the Large)																																																									
Thordis sister of Jokul	Jokul	Ingimund earl of Gotland	Thorstein Ketilsson (the Large)																																																									
Ingjald	Thorstein Ketilsson (the Large)																																																											
Ingimund Thorsteinsson the Old	Thordis sister of Jokul	Thorstein Ketilsson (the Large)	Ingjald	Grim Ingjaldsson	Hromund Ingjaldsson	Ingjald	King Harald																																																					
Grim Ingjaldsson	Ingjald	Ingimund Thorsteinsson the Old																																																										
Hromund Ingjaldsson	Ingjald	Grim Ingjaldsson																																																										
Seamund	Ingimund Thorsteinsson the Old	Grim Ingjaldsson																																																										
King Harald	Ingimund Thorsteinsson the Old																										Seamund																																	
Thorir Long-chin																											King Harald																																	
Kjotvi the Wealthy																											King Harald																																	
Rognvald	King Harald																																																											
Halland	Rognvald																																																											
Turf-Einar	Rognvald	Halland																																																										
Geirmund Saemundarson	Seamund																																																											
Hallbera mother of Gudmund the powerful	Thorodd Helmet	Reginleif Saemundardottir																																																										
Gudmund Eyjolfsson the Powerful	Hallbera mother of Gudmund the powerful																																																											
Thorodd Helmet	Reginleif Saemundardottir																																																											
Reginleif Saemundardottir	Seamund	Geirmund Saemundarson																																																										
Einar Eyjolfsson of Thvera	Hallbera mother of Gudmund the powerful	Gudmund Eyjolfsson the Powerful																																																										
The Lapp woman	Ingjald	Ingimund Thorsteinsson the Old	Grim Ingjaldsson																																																									
Vigdis Thorisdottir	Ingimund Thorsteinsson the Old	King Harald																																																										
Thorir the silent	Vigdis Thorisdottir																																																											
Thorstein Ingimundarson 	Ingimund Thorsteinsson the Old	Vigdis Thorisdottir	Geirmund Saemundarson																																																									
Jokul Ingimundarson 	Ingimund Thorsteinsson the Old	Vigdis Thorisdottir	Thorstein Ingimundarson 	Geirmund Saemundarson																																																								
Thorir Ingimundarson 	Ingimund Thorsteinsson the Old	Vigdis Thorisdottir	Thorstein Ingimundarson 	Jokul Ingimundarson 	Geirmund Saemundarson																																																							
Hogni Ingimundarson 	Ingimund Thorsteinsson the Old	Vigdis Thorisdottir	Thorstein Ingimundarson 	Jokul Ingimundarson 	Thorir Ingimundarson 	Geirmund Saemundarson																																																						
Smid Ingimundarson 	Ingimund Thorsteinsson the Old	Vigdis Thorisdottir	Thorstein Ingimundarson 	Jokul Ingimundarson 	Thorir Ingimundarson 	Hogni Ingimundarson 	Geirmund Saemundarson																																																					
Thordis Ingimundardottir	Ingimund Thorsteinsson the Old	Vigdis Thorisdottir	Thorstein Ingimundarson 	Jokul Ingimundarson 	Thorir Ingimundarson 	Hogni Ingimundarson 	Smid Ingimundarson 																																																					
Jorunn Ingimundardottir	Ingimund Thorsteinsson the Old	Vigdis Thorisdottir	Thorstein Ingimundarson 	Jokul Ingimundarson 	Thorir Ingimundarson 	Hogni Ingimundarson 	Smid Ingimundarson 	Thordis Ingimundardottir																																																				
Jorund Thorisson	Thorir the silent	Vigdis Thorisdottir	Ingimund Thorsteinsson the Old																																																									
Hvati	Ingimund Thorsteinsson the Old																																																											
Asmund	Hvati	Ingimund Thorsteinsson the Old																																																										
Fridmund Ingimund's men	Ingimund Thorsteinsson the Old																																																											
Refkel Ingimund's men	Ingimund Thorsteinsson the Old																																																											
Ulfkel Ingimund's men	Ingimund Thorsteinsson the Old																																																											
Bodvar Ingimund's men	Ingimund Thorsteinsson the Old																																																											
Thorir Ingimund's men	Ingimund Thorsteinsson the Old																																																											
Mar son of Jorund	Jorund Thorisson	Thorstein Ingimundarson 	Jokul Ingimundarson 																																																									
Thorolf Dark-skin	Thorstein Ingimundarson 	Jokul Ingimundarson 																									Jokul Ingimundarson 	Thorstein Ingimundarson 																																
Ottar	Thorstein Ingimundarson 	Ingolf Thorsteinsson (Ingimundarson)																																																										
Asdis	Ottar																																																											
Hallfred the troublesome Poet	Ottar	Asdis																																																										
Valgerd	Hallfred the troublesome Poet	Ottar	Asdis																																																									
Olaf from Haukagil	Asdis	Ottar	Ingolf Thorsteinsson (Ingimundarson)																																																									
Hafn	Ingimund Thorsteinsson the Old																																																											
Eyvind the proud	Ingimund Thorsteinsson the Old																																																											
Thororm	Ingimund Thorsteinsson the Old	Eyvind the proud																																																										
Hrolleif the Tall	Seamund	Geirmund Saemundarson	Ingimund Thorsteinsson the Old	Jokul Ingimundarson 	Thorstein Ingimundarson 	Jokul Ingimundarson 	Thorir Ingimundarson 	Hogni Ingimundarson 	Smid Ingimundarson 																		Odd Unasson	Ingimund Thorsteinsson the Old	Thorstein Ingimundarson 	Jokul Ingimundarson 	Thorir Ingimundarson 	Hogni Ingimundarson 	Smid Ingimundarson 																											
Ljort	Hrolleif the Tall	Seamund	Ingimund Thorsteinsson the Old		Thorstein Ingimundarson 	Jokul Ingimundarson 	Thorir Ingimundarson 	Hogni Ingimundarson 	Smid Ingimundarson 																		Thorstein Ingimundarson 	Jokul Ingimundarson 	Thorir Ingimundarson 	Hogni Ingimundarson 	Smid Ingimundarson 																													
Uni from Unadal	Hrolleif the Tall	Seamund																																																										
Odd Unasson	Uni from Unadal	Hrolleif the Tall	Seamund																																																									
Hrodny Unadottir	Uni from Unadal	Odd Unasson	Hrolleif the Tall																																																									
Kolbein Sigmundarson	Uni from Unadal																																																											
Ljort Hrolleif's companion	Hrolleif the Tall																										Odd Unasson																																	
Thord Bjarnarson	Uni from Unadal	Seamund																																																										
Hallorm	Ingimund Thorsteinsson the Old	Thordis Ingimundardottir																																																										
Thororm at Tunga	Hallorm	Ingimund Thorsteinsson the Old																																																										
Thorgrim	Thordis Ingimundardottir	Hallorm	Mar son of Jorund																																																									
Hermund Eyvindarson	Eyvind the proud																																																											
Hromund Eyvindarson the Lame	Eyvind the proud	Hermund Eyvindarson																																																										
Arnald Saemundarson	Geirmund Saemundarson	Seamund																																																										
Gyda Solmundardottir	Thorstein Ingimundarson 																																																											
Solmund Gudmundarson	Gyda Solmundardottir	Gudmund	Killer-Bardi																																																									
Thorolf Sledgehammer	Thorstein Ingimundarson 																																																											
Thorgrim Skin-hood	Mar son of Jorund																										Thorstein Ingimundarson 	Jokul Ingimundarson 																																
Gudmund																																																												
Killer-Bardi																																																												
Hromund son of Eyvind the proud	Eyvind the proud	Mar son of Jorund																									Hogni Ingimundarson 	Jokul Ingimundarson 																																
Ingolf Thorsteinsson (Ingimundarson)	Thorstein Ingimundarson 	Jokul Ingimundarson 																									Ottar																																	
Gudbrand	Thorstein Ingimundarson 	Ingolf Thorsteinsson (Ingimundarson)	Ottar																								Ottar																																	
Asgeir Scatter-brain	Jorunn Ingimundardottir																																																											
Kalf Asgeirsson	Asgeir Scatter-brain																																																											
Hrefna Asgeirsdottir	Asgeir Scatter-brain	Kalf Asgeirsson																																																										
Kjartan Olafsson (Peacock)	Hrefna Asgeirdottir	Kalf Asgeirsson																																																										
Thorbjorg Asgeirsdottir	Kjartan Olafsson (Peacock)	Kalf Asgeirsson	Hrefna Asgeirsdottir																																																									
Berg the Bold	Thorstein Ingimundarson 	Jokul Ingimundarson 																									Jokul Ingimundarson 																																	
Finnbogi the Mighty	Berg the Bold	Thorstein Ingimundarson 																																																										
Thorgrim at Lesser Borg	Berg the Bold	Finnbogi the Mighty	Thorstein Ingimundarson 	Jokul Ingimundarson 	Thorir Ingimundarson 	Hogni Ingimundarson 	Smid Ingimundarson 																																																					
Thorbjorg Skidadottir	Thorgrim at Lesser Borg																																																											
Helga mistress of Berg the Bold	Berg the Bold	Finnbogi the Mighty																																																										
Faxi-Brand	Jokul Ingimundarson 	Thorstein Ingimundarson 																																																										
Thorey	Thorstein Ingimundarson 																																																											
Groa	Thorey	Thorstein Ingimundarson 	Jokul Ingimundarson 	Mar son of Jorund																																																								
Nereid	Thorgrim																																																											
